1v,1i,2v,2i,3v,3i,4v,4i,5v,5i,6v,6i,7v,7i,8v,8i,9v,9i,10v,10i,,,,,
1,9.58E-11,1,5.39E-10,1,1.18E-09,1,2.03E-09,1,3.09E-09,1,4.36E-09,1,5.82E-09,1,7.46E-09,1,9.27E-09,1,1.12E-08,,,,,
1.000000004,4.64E-13,1.000000004,6.24E-11,1.000000004,2.35E-10,1.000000004,5.06E-10,1.000000004,9.30E-10,1.000000004,1.50E-09,1.000000004,2.22E-09,1.000000004,3.09E-09,1.000000004,4.11E-09,1.000000004,5.29E-09,,,,,
1.000000012,1.33E-13,1.000000013,9.23E-12,1.000000014,4.52E-11,1.000000014,1.26E-10,1.000000014,2.83E-10,1.000000014,5.19E-10,1.000000014,8.49E-10,1.000000014,1.28E-09,1.000000014,1.83E-09,1.000000014,2.50E-09,,,,,
1.000000025,4.18E-13,1.000000028,1.85E-12,1.000000032,9.14E-12,1.000000032,3.17E-11,1.000000032,8.57E-11,1.000000032,1.80E-10,1.000000032,3.26E-10,1.000000032,5.35E-10,1.000000032,8.17E-10,1.000000032,1.18E-09,,,,,
1.000000043,4.81E-13,1.000000049,8.19E-13,1.000000089,-5.50E-12,1.000000089,-1.48E-11,1.000000089,-2.45E-11,1.000000089,-4.66E-11,1.000000089,-6.03E-11,1.000000089,-6.24E-11,1.000000089,-4.63E-11,1.000000089,-3.89E-12,,,,,
1.000000093,5.72E-13,1.000000108,6.04E-13,1.000000165,1.64E-12,1.000000175,2.84E-12,1.000000175,3.38E-12,1.000000175,-7.20E-12,1.000000175,-2.08E-11,1.000000175,-3.85E-11,1.000000175,-5.91E-11,1.000000175,-7.89E-11,,,,,
1.000000154,6.28E-13,1.000000181,9.75E-13,1.000000307,1.90E-12,1.00000029,4.56E-12,1.00000029,1.62E-11,1.000000433,-4.25E-12,1.000000433,-1.55E-11,1.000000433,-3.44E-11,1.00000029,4.39E-11,1.00000029,-1.73E-11,,,,,
1.000000264,7.21E-13,1.000000317,1.16E-12,1.000000492,1.86E-12,1.000000433,2.09E-12,1.000000433,7.70E-12,1.000000744,1.92E-12,1.000000762,9.02E-14,1.000000762,-4.19E-12,1.000000604,2.49E-11,1.000000604,2.44E-12,,,,,
1.000000405,8.10E-13,1.000000491,1.35E-12,1.00000072,2.14E-12,1.000000604,1.88E-12,1.000000604,1.84E-12,1.00000114,4.81E-12,1.000001184,5.83E-12,1.000001184,6.71E-12,1.000001033,-1.72E-12,1.000001033,3.34E-12,,,,,
1.000000574,8.97E-13,1.000000703,1.55E-12,1.000000991,2.47E-12,1.000000804,2.78E-12,1.000000804,2.38E-12,1.00000162,5.85E-12,1.000001698,7.08E-12,1.000001698,8.40E-12,1.000001575,3.73E-12,1.000001575,7.77E-12,,,,,
1.000000774,9.85E-13,1.000000952,1.75E-12,1.000001306,2.79E-12,1.000001033,3.34E-12,1.000001033,4.04E-12,1.000002183,6.63E-12,1.000002303,7.89E-12,1.000002303,8.84E-12,1.000002232,9.25E-12,1.000002232,1.08E-11,,,,,
