2.1v,2.1i,2.2v,2.2i,2.3v,2.3i,2.4v,2.4i,2.5v,2.5i,2.6v,2.6i,2.7v,2.7i,2.8v,2.8i,2.9v,2.9i,3.0v,3.0i
1,5.95E-10,1,6.53E-10,1,7.12E-10,1,7.73E-10,1,8.36E-10,1,9.00E-10,1,9.67E-10,1,1.04E-09,1,1.11E-09,1,1.18E-09
1.000000004,7.31E-11,1.000000004,8.60E-11,1.000000004,1.02E-10,1.000000004,1.19E-10,1.000000004,1.37E-10,1.000000004,1.55E-10,1.000000004,1.74E-10,1.000000004,1.93E-10,1.000000004,2.13E-10,1.000000004,2.35E-10
1.000000013,1.13E-11,1.000000013,1.39E-11,1.000000013,1.72E-11,1.000000013,2.10E-11,1.000000013,2.51E-11,1.000000013,2.95E-11,1.000000013,3.42E-11,1.000000013,3.93E-11,1.000000013,4.47E-11,1.000000014,4.52E-11
1.000000028,2.25E-12,1.000000028,2.76E-12,1.000000028,3.42E-12,1.000000028,4.20E-12,1.000000028,5.08E-12,1.000000028,6.07E-12,1.000000028,7.18E-12,1.000000028,8.43E-12,1.000000028,9.83E-12,1.000000032,9.14E-12
1.000000049,9.06E-13,1.000000049,1.02E-12,1.000000049,1.15E-12,1.000000049,1.32E-12,1.000000049,1.51E-12,1.000000049,1.73E-12,1.000000049,1.99E-12,1.000000049,2.29E-12,1.000000049,2.64E-12,1.000000089,-5.50E-12
1.000000108,5.64E-13,1.000000108,5.08E-13,1.000000108,4.30E-13,1.000000108,3.30E-13,1.000000108,2.13E-13,1.000000108,8.17E-14,1.000000108,-6.71E-14,1.000000108,-2.35E-13,1.000000108,-4.24E-13,1.000000165,1.64E-12
1.000000181,1.01E-12,1.000000181,1.03E-12,1.000000181,1.06E-12,1.000000191,1.16E-12,1.000000191,1.19E-12,1.000000191,1.22E-12,1.000000191,1.25E-12,1.000000191,1.28E-12,1.000000191,1.30E-12,1.000000307,1.90E-12
1.000000384,1.29E-12,1.000000384,1.34E-12,1.000000384,1.38E-12,1.000000337,1.38E-12,1.000000339,1.42E-12,1.00000034,1.47E-12,1.000000341,1.52E-12,1.000000342,1.57E-12,1.000000343,1.62E-12,1.000000492,1.86E-12
1.000000599,1.51E-12,1.000000602,1.56E-12,1.000000604,1.62E-12,1.000000526,1.59E-12,1.000000529,1.64E-12,1.000000532,1.70E-12,1.000000535,1.75E-12,1.000000538,1.81E-12,1.000000541,1.87E-12,1.00000072,2.14E-12
1.000000862,1.74E-12,1.000000868,1.81E-12,1.000000874,1.88E-12,1.000000756,1.84E-12,1.000000762,1.90E-12,1.000000767,1.97E-12,1.000000772,2.04E-12,1.000000777,2.10E-12,1.000000782,2.17E-12,1.000000991,2.47E-12
1.000001173,1.98E-12,1.000001183,2.06E-12,1.000001193,2.15E-12,1.000001027,2.09E-12,1.000001036,2.17E-12,1.000001045,2.25E-12,1.000001052,2.33E-12,1.00000106,2.41E-12,1.000001069,2.49E-12,1.000001306,2.79E-12
1.000001531,2.21E-12,1.000001547,2.31E-12,1.000001562,2.41E-12,1.00000134,2.34E-12,1.000001353,2.43E-12,1.000001365,2.52E-12,1.000001376,2.61E-12,1.000001387,2.70E-12,1.000001399,2.80E-12,1.000001664,3.11E-12
1.000001936,2.45E-12,1.000001959,2.56E-12,1.00000198,2.67E-12,1.000001695,2.59E-12,1.000001712,2.69E-12,1.000001728,2.79E-12,1.000001743,2.90E-12,1.000001758,3.00E-12,1.000001775,3.11E-12,1.000002065,3.43E-12
1.000002389,2.68E-12,1.000002419,2.80E-12,1.000002447,2.93E-12,1.00000209,2.83E-12,1.000002113,2.95E-12,1.000002134,3.07E-12,1.000002153,3.18E-12,1.000002173,3.30E-12,1.000002194,3.42E-12,1.000002509,3.75E-12
1.00000289,2.91E-12,1.000002928,3.05E-12,1.000002964,3.19E-12,1.000002527,3.08E-12,1.000002556,3.21E-12,1.000002582,3.34E-12,1.000002606,3.47E-12,1.000002631,3.60E-12,1.000002658,3.73E-12,1.000003525,4.38E-12
1.000004032,3.37E-12,1.00000409,3.54E-12,1.000004145,3.70E-12,1.000003525,3.58E-12,1.000003567,3.73E-12,1.000003605,3.88E-12,1.000003641,4.04E-12,1.000003678,4.19E-12,1.000003717,4.35E-12,1.000004713,5.01E-12
1.000005362,3.83E-12,1.000005444,4.03E-12,1.000005521,4.22E-12,1.000004687,4.07E-12,1.000004745,4.25E-12,1.000004798,4.43E-12,1.000004848,4.60E-12,1.000004898,4.78E-12,1.000004952,4.96E-12,1.000006071,5.63E-12
1.000006879,4.29E-12,1.000006989,4.51E-12,1.000007091,4.73E-12,1.000006012,4.56E-12,1.000006088,4.76E-12,1.000006158,4.96E-12,1.000006224,5.17E-12,1.00000629,5.37E-12,1.000006362,5.58E-12,1.000007598,6.25E-12
1.000008582,4.75E-12,1.000008722,4.99E-12,1.000008854,5.24E-12,1.000007499,5.05E-12,1.000007597,5.27E-12,1.000007686,5.50E-12,1.00000777,5.72E-12,1.000007854,5.95E-12,1.000007946,6.18E-12,1.000009292,6.87E-12
1.000010468,5.19E-12,1.000010644,5.47E-12,1.000010809,5.74E-12,1.000009148,5.53E-12,1.000009269,5.78E-12,1.00000938,6.03E-12,1.000009484,6.28E-12,1.000009588,6.53E-12,1.000009703,6.79E-12,1.000011154,7.48E-12
1.000014788,6.09E-12,1.000012752,5.94E-12,1.000012953,6.24E-12,1.000010957,6.01E-12,1.000011103,6.28E-12,1.000011238,6.56E-12,1.000011365,6.83E-12,1.000011491,7.11E-12,1.00001163,7.39E-12,1.000013181,8.09E-12
1.000019824,6.94E-12,1.00001752,6.88E-12,1.000017804,7.23E-12,1.000015049,6.96E-12,1.000015255,7.28E-12,1.000015443,7.60E-12,1.000015621,7.92E-12,1.000015798,8.24E-12,1.000015992,8.57E-12,1.000017725,9.29E-12
1.00002556,7.81E-12,1.000023011,7.76E-12,1.00002339,8.16E-12,1.000019766,7.89E-12,1.000020039,8.26E-12,1.00002029,8.62E-12,1.000020526,8.99E-12,1.000020762,9.36E-12,1.00002102,9.73E-12,1.000022911,1.05E-11
1.000031978,8.60E-12,1.000029205,8.63E-12,1.000029693,9.08E-12,1.000025093,8.80E-12,1.000025443,9.21E-12,1.000025764,9.62E-12,1.000026066,1.00E-11,1.000026368,1.04E-11,1.000026698,1.09E-11,1.000028724,1.16E-11
1.000039056,9.39E-12,1.000036083,9.49E-12,1.000036691,9.98E-12,1.000031015,9.66E-12,1.00003145,1.01E-11,1.000031848,1.06E-11,1.000032224,1.10E-11,1.000032599,1.15E-11,1.000033009,1.20E-11,1.000035146,1.27E-11
1.000046772,1.02E-11,1.000043622,1.03E-11,1.00004436,1.08E-11,1.000037515,1.05E-11,1.000038043,1.10E-11,1.000038526,1.15E-11,1.000038982,1.20E-11,1.000039436,1.25E-11,1.000039934,1.30E-11,1.000042159,1.37E-11
1.000064015,1.15E-11,1.000051797,1.11E-11,1.000052675,1.17E-11,1.000052177,1.22E-11,1.000045204,1.19E-11,1.000045778,1.24E-11,1.00004632,1.29E-11,1.00004686,1.35E-11,1.000047451,1.40E-11,1.000057873,1.58E-11
1.000083486,1.25E-11,1.000069945,1.24E-11,1.000071128,1.31E-11,1.000068913,1.34E-11,1.000061143,1.34E-11,1.000061918,1.40E-11,1.000062648,1.46E-11,1.000063376,1.52E-11,1.000064173,1.60E-11,1.000075681,1.74E-11
1.000104935,1.35E-11,1.000090289,1.35E-11,1.000091805,1.42E-11,1.000087536,1.46E-11,1.000079088,1.47E-11,1.000080082,1.54E-11,1.000081018,1.60E-11,1.000081952,1.67E-11,1.000082973,1.74E-11,1.000095377,1.88E-11
1.000128092,1.44E-11,1.000112566,1.45E-11,1.00011443,1.52E-11,1.000107839,1.58E-11,1.000098833,1.59E-11,1.000100061,1.66E-11,1.000101216,1.73E-11,1.000102368,1.80E-11,1.000103627,1.87E-11,1.000116733,2.02E-11
1.000152666,1.52E-11,1.000136487,1.54E-11,1.000138708,1.62E-11,1.000129598,1.67E-11,1.000120158,1.70E-11,1.000121627,1.78E-11,1.000123009,1.85E-11,1.000124387,1.93E-11,1.000125891,2.00E-11,1.000139506,2.14E-11
1.000178357,1.58E-11,1.00016175,1.62E-11,1.000164326,1.70E-11,1.000152577,1.75E-11,1.000142826,1.79E-11,1.000144539,1.87E-11,1.00014615,1.95E-11,1.000147754,2.03E-11,1.000149506,2.11E-11,1.000163438,2.24E-11
1.000204854,1.05E-11,1.00018804,1.10E-11,1.000190957,1.16E-11,1.00017653,1.37E-11,1.000166588,1.42E-11,1.000168541,1.49E-11,1.000170377,1.56E-11,1.000172204,2.11E-11,1.000174198,2.19E-11,1.000188265,1.82E-11
1.000259041,1.30E-11,1.000242425,1.79E-11,1.000245951,1.87E-11,1.00022635,1.62E-11,1.00021637,2.02E-11,1.000218771,2.10E-11,1.000221024,2.18E-11,1.000223263,2.02E-11,1.000225702,2.10E-11,1.000239534,2.09E-11
1.000307575,1.35E-11,1.000291738,1.47E-11,1.000295687,1.54E-11,1.000272014,1.67E-11,1.000262348,1.79E-11,1.000265087,1.86E-11,1.000267652,1.94E-11,1.000275401,1.82E-11,1.000278201,1.89E-11,1.000291225,2.06E-11
1.000354364,1.21E-11,1.000339724,1.24E-11,1.000343952,1.30E-11,1.000317063,1.55E-11,1.000307977,1.60E-11,1.000310969,1.67E-11,1.000313767,1.74E-11,1.000326625,1.68E-11,1.000329673,1.74E-11,1.000341478,1.84E-11
1.000398363,1.21E-11,1.000385144,1.27E-11,1.000389514,1.33E-11,1.000360373,1.51E-11,1.000352049,1.59E-11,1.000355202,1.66E-11,1.000358144,1.72E-11,1.000375325,1.64E-11,1.000378506,1.70E-11,1.000388878,1.78E-11
1.000439129,1.27E-11,1.000427326,1.31E-11,1.000431749,1.38E-11,1.000401158,1.50E-11,1.000393681,1.57E-11,1.000396911,1.63E-11,1.000399922,1.70E-11,1.000420526,1.65E-11,1.000423756,1.71E-11,1.000432703,1.80E-11
1.000477043,1.40E-11,1.000466381,1.41E-11,1.000470869,1.49E-11,1.000439118,9.16E-12,1.000432457,7.55E-12,1.000435717,8.81E-12,1.000438753,1.01E-11,1.000462163,1.74E-11,1.000465433,1.81E-11,1.000473198,1.92E-11
1.000513506,4.23E-11,1.00050344,3.70E-11,1.000508171,4.11E-11,1.00047458,1.50E-11,1.000468583,1.51E-11,1.00047189,1.59E-11,1.000474976,1.67E-11,1.000501385,4.09E-11,1.000504822,4.44E-11,1.000511862,4.96E-11
1.000549859,2.01E-11,1.000540171,2.09E-11,1.000545255,2.18E-11,1.000508666,4.29E-11,1.000503055,4.25E-11,1.000506528,4.47E-11,1.000509783,4.69E-11,1.00054015,2.56E-11,1.000543856,2.66E-11,1.000588849,1.94E-11
1.000586212,-4.70E-12,1.000576902,5.84E-12,1.000582338,1.36E-12,1.000576544,2.98E-11,1.000571459,3.18E-11,1.000575411,3.24E-11,1.000579115,3.29E-11,1.000578915,1.27E-11,1.000582891,8.96E-12,1.000656621,1.47E-11
1.000658918,1.02E-11,1.000650365,1.23E-11,1.000656506,1.21E-11,1.000637633,1.30E-11,1.000633022,1.46E-11,1.000637405,1.45E-11,1.000641513,1.45E-11,1.000656446,1.64E-11,1.00066096,1.62E-11,1.000724394,1.90E-11
1.000731624,1.68E-11,1.000716481,1.54E-11,1.000723256,1.68E-11,1.000698723,1.40E-11,1.000694585,1.46E-11,1.0006994,1.51E-11,1.000703911,1.57E-11,1.000726223,1.87E-11,1.000731223,2.00E-11,1.000792167,1.92E-11
1.000804331,1.33E-11,1.000782598,1.39E-11,1.000790007,1.45E-11,1.000759812,1.56E-11,1.000756148,1.62E-11,1.000761394,1.69E-11,1.00076631,1.75E-11,1.000796,1.75E-11,1.000801485,1.82E-11,1.000859939,1.86E-11
1.000877037,1.27E-11,1.000848714,1.36E-11,1.000856757,1.41E-11,1.000820902,1.51E-11,1.000817712,1.58E-11,1.000823388,1.64E-11,1.000828708,1.70E-11,1.000865778,1.73E-11,1.000871748,1.78E-11,1.000927712,1.87E-11
1.000949743,1.38E-11,1.000914831,1.41E-11,1.000923508,1.48E-11,1.000881991,1.43E-11,1.000879275,1.49E-11,1.000885383,1.55E-11,1.000891107,1.60E-11,1.000935555,1.75E-11,1.00094201,1.82E-11,1.000995485,1.90E-11
1.001022449,1.34E-11,1.001047063,1.40E-11,1.001057009,1.47E-11,1.00100417,1.50E-11,1.001002401,1.56E-11,1.001009371,1.62E-11,1.001015904,1.68E-11,1.001005332,1.78E-11,1.001012273,1.85E-11,1.00113103,1.90E-11
1.001095155,1.28E-11,1.001166073,1.37E-11,1.00117716,1.45E-11,1.001114131,1.53E-11,1.001113215,1.59E-11,1.001120961,1.65E-11,1.001128221,1.72E-11,1.001144887,1.77E-11,1.001152798,1.83E-11,1.001253021,1.90E-11
1.001240567,1.33E-11,1.001285083,1.40E-11,1.001297311,1.47E-11,1.001224092,1.53E-11,1.001224029,1.59E-11,1.001232551,1.65E-11,1.001240538,1.71E-11,1.001270486,1.77E-11,1.00127927,1.83E-11,1.001375012,1.91E-11
1.00138598,1.44E-11,1.001404092,1.44E-11,1.001417462,1.49E-11,1.001334054,1.52E-11,1.001334843,1.59E-11,1.001344141,1.65E-11,1.001352855,1.72E-11,1.001396085,1.79E-11,1.001405743,1.85E-11,1.001497003,1.92E-11
1.001676804,1.36E-11,1.001642111,1.43E-11,1.001537613,1.50E-11,1.001444015,1.54E-11,1.001445657,1.61E-11,1.001455731,1.67E-11,1.001465172,1.73E-11,1.001521685,1.79E-11,1.001532215,1.86E-11,1.001618994,1.93E-11
1.001938546,2.16E-11,1.00188013,2.05E-11,1.001657764,1.50E-11,1.001553976,1.56E-11,1.001667285,1.62E-11,1.001678911,1.68E-11,1.001689807,1.75E-11,1.001647284,1.81E-11,1.001658688,1.87E-11,1.001862975,1.95E-11
1.002200288,7.62E-11,1.002118149,6.56E-11,1.001898066,1.50E-11,1.001773898,1.56E-11,1.00186675,1.65E-11,1.001879773,1.71E-11,1.001891978,1.78E-11,1.001898482,1.82E-11,1.001911633,1.89E-11,1.002082559,1.99E-11
1.002723772,2.32E-10,1.002594188,1.95E-10,1.002138367,1.56E-11,1.00199382,1.58E-11,1.002265679,1.65E-11,1.002281496,1.72E-11,1.00229632,1.78E-11,1.002149681,1.88E-11,1.002139283,1.93E-11,1.002521726,1.99E-11
1.00377074,8.40E-10,1.003070226,3.00E-10,1.002618971,1.58E-11,1.002433665,1.62E-11,1.002664609,3.45E-11,1.00268322,3.55E-11,1.002700662,3.65E-11,1.002400879,1.87E-11,1.002594584,1.93E-11,1.002960893,4.22E-11
1.005864676,3.27E-09,1.004022302,7.19E-10,1.003099575,2.10E-10,1.00287351,3.80E-11,1.003063539,1.65E-10,1.003084943,1.68E-10,1.003105004,1.70E-10,1.002652077,1.90E-11,1.003049885,4.32E-11,1.00340006,2.01E-10
1.010052549,1.29E-08,1.005926455,2.69E-09,1.004060783,7.55E-10,1.003313354,1.97E-10,1.003861399,5.30E-10,1.003888391,5.38E-10,1.003913687,5.46E-10,1.003154474,1.94E-11,1.003505186,2.14E-10,1.004278394,6.45E-10
1.018428294,8.23E-10,1.009734761,1.07E-08,1.005983198,2.81E-09,1.004193043,6.42E-10,1.005457118,1.94E-09,1.005495285,1.97E-09,1.005531055,2.00E-09,1.004159268,9.67E-11,1.004415788,6.92E-10,1.006035062,2.36E-09
1.025345132,4.09E-09,1.017351372,6.85E-10,1.00982803,1.09E-08,1.005952421,2.36E-09,1.008648557,7.59E-09,1.008709074,7.70E-09,1.00876579,7.80E-09,1.005164061,9.51E-10,1.006236992,2.54E-09,1.009548398,9.22E-09
1.031570286,3.00E-11,1.023750379,3.19E-09,1.017517692,7.08E-10,1.009471178,9.23E-09,1.015031435,3.62E-09,1.015136651,3.69E-09,1.01523526,3.74E-09,1.007173648,3.29E-09,1.009879399,9.91E-09,1.016575071,5.86E-10
