7.1v,7.1i,7.2v,7.2i,7.3v,7.3i,7.4v,7.4i,7.5v,7.5i,7.6v,7.6i,7.7v,7.7i,7.8v,7.8i,7.9v,7.9i,8.0v,8.0i,,,,,
1,5.98E-09,1,6.14E-09,1,6.29E-09,1,6.46E-09,1,6.62E-09,1,6.78E-09,1,6.95E-09,1,7.12E-09,1,7.29E-09,1,7.46E-09,,,,,
1.000000004,2.30E-09,1.000000004,2.38E-09,1.000000004,2.46E-09,1.000000004,2.55E-09,1.000000004,2.63E-09,1.000000004,2.72E-09,1.000000004,2.81E-09,1.000000004,2.90E-09,1.000000004,3.00E-09,1.000000004,3.09E-09,,,,,
1.000000014,8.88E-10,1.000000014,9.27E-10,1.000000014,9.68E-10,1.000000014,1.01E-09,1.000000014,1.05E-09,1.000000014,1.10E-09,1.000000014,1.14E-09,1.000000014,1.19E-09,1.000000014,1.24E-09,1.000000014,1.28E-09,,,,,
1.000000032,3.44E-10,1.000000032,3.63E-10,1.000000032,3.82E-10,1.000000032,4.02E-10,1.000000032,4.22E-10,1.000000032,4.43E-10,1.000000032,4.65E-10,1.000000032,4.88E-10,1.000000032,5.11E-10,1.000000032,5.35E-10,,,,,
1.000000089,-6.11E-11,1.000000089,-6.19E-11,1.000000089,-6.25E-11,1.000000089,-6.29E-11,1.000000089,-6.32E-11,1.000000089,-6.34E-11,1.000000089,-6.34E-11,1.000000089,-6.32E-11,1.000000089,-6.29E-11,1.000000089,-6.24E-11,,,,,
1.000000175,-2.24E-11,1.000000175,-2.40E-11,1.000000175,-2.57E-11,1.000000175,-2.74E-11,1.000000175,-2.91E-11,1.000000175,-3.09E-11,1.000000175,-3.28E-11,1.000000175,-3.46E-11,1.000000175,-3.66E-11,1.000000175,-3.85E-11,,,,,
1.000000433,-1.71E-11,1.000000433,-1.87E-11,1.000000433,-2.04E-11,1.000000433,-2.21E-11,1.000000433,-2.40E-11,1.000000433,-2.59E-11,1.000000433,-2.79E-11,1.000000433,-3.00E-11,1.000000433,-3.22E-11,1.000000433,-3.44E-11,,,,,
1.000000762,-2.21E-13,1.000000762,-5.58E-13,1.000000762,-9.19E-13,1.000000762,-1.31E-12,1.000000762,-1.72E-12,1.000000762,-2.16E-12,1.000000762,-2.63E-12,1.000000762,-3.12E-12,1.000000762,-3.65E-12,1.000000762,-4.19E-12,,,,,
1.000001184,5.92E-12,1.000001184,6.01E-12,1.000001184,6.10E-12,1.000001184,6.18E-12,1.000001184,6.27E-12,1.000001184,6.36E-12,1.000001184,6.45E-12,1.000001184,6.54E-12,1.000001184,6.62E-12,1.000001184,6.71E-12,,,,,
1.000001698,7.20E-12,1.000001698,7.33E-12,1.000001698,7.45E-12,1.000001698,7.58E-12,1.000001698,7.71E-12,1.000001698,7.84E-12,1.000001698,7.98E-12,1.000001698,8.11E-12,1.000001698,8.25E-12,1.000001698,8.40E-12,,,,,
1.000002303,8.00E-12,1.000002303,8.11E-12,1.000002303,8.23E-12,1.000002303,8.34E-12,1.000002303,8.45E-12,1.000002303,8.57E-12,1.000002303,8.68E-12,1.000002303,8.63E-12,1.000002303,8.73E-12,1.000002303,8.84E-12,,,,,
1.000003001,9.00E-12,1.000003001,9.12E-12,1.000003001,9.23E-12,1.000003001,9.35E-12,1.000003001,9.47E-12,1.000003001,9.58E-12,1.000003001,9.70E-12,1.000003001,9.75E-12,1.000003001,9.86E-12,1.000003001,9.97E-12,,,,,
1.00000379,1.01E-11,1.00000379,1.02E-11,1.00000379,1.04E-11,1.00000379,1.05E-11,1.00000379,1.06E-11,1.00000379,1.08E-11,1.00000379,1.09E-11,1.00000379,1.10E-11,1.00000379,1.12E-11,1.00000379,1.13E-11,,,,,
1.000004671,1.12E-11,1.000004671,1.14E-11,1.000004671,1.15E-11,1.000004671,1.17E-11,1.000004671,1.18E-11,1.000004671,1.20E-11,1.000004671,1.21E-11,1.000004671,1.23E-11,1.000004671,1.24E-11,1.000004671,1.26E-11,,,,,
1.000005642,1.23E-11,1.000005642,1.25E-11,1.000005642,1.26E-11,1.000005642,1.28E-11,1.000005642,1.29E-11,1.000005642,1.31E-11,1.000005642,1.33E-11,1.000005642,1.34E-11,1.000005642,1.36E-11,1.000005642,1.38E-11,,,,,
1.000006704,1.34E-11,1.000006704,1.35E-11,1.000006704,1.37E-11,1.000006704,1.39E-11,1.000006704,1.41E-11,1.000006704,1.43E-11,1.000006704,1.44E-11,1.000006704,1.46E-11,1.000006704,1.48E-11,1.000006704,1.50E-11,,,,,
1.000009097,1.55E-11,1.000009097,1.57E-11,1.000009097,1.59E-11,1.000009097,1.61E-11,1.000009097,1.63E-11,1.000009097,1.66E-11,1.000009097,1.68E-11,1.000009097,1.70E-11,1.000009097,1.72E-11,1.000009097,1.74E-11,,,,,
1.000011847,1.76E-11,1.000011847,1.79E-11,1.000011847,1.81E-11,1.000011847,1.83E-11,1.000011847,1.86E-11,1.000011847,1.88E-11,1.000011847,1.91E-11,1.000011847,1.93E-11,1.000011847,1.95E-11,1.000011847,1.98E-11,,,,,
1.000014948,1.97E-11,1.000014948,2.00E-11,1.000014948,2.03E-11,1.000014948,2.05E-11,1.000014948,2.08E-11,1.000014948,2.11E-11,1.000014948,2.13E-11,1.000014948,2.16E-11,1.000014948,2.19E-11,1.000014948,2.21E-11,,,,,
1.000018397,2.18E-11,1.000018397,2.21E-11,1.000018397,2.24E-11,1.000018397,2.27E-11,1.000018397,2.30E-11,1.000018397,2.33E-11,1.000018397,2.36E-11,1.000018397,2.39E-11,1.000018397,2.42E-11,1.000018397,2.45E-11,,,,,
1.000022187,2.38E-11,1.000022187,2.41E-11,1.000022187,2.45E-11,1.000022187,2.48E-11,1.000022187,2.51E-11,1.000022187,2.54E-11,1.000022187,2.58E-11,1.000022187,2.61E-11,1.000022187,2.64E-11,1.000022187,2.68E-11,,,,,
1.000026313,2.58E-11,1.000026313,2.62E-11,1.000026313,2.65E-11,1.000026313,2.69E-11,1.000026313,2.72E-11,1.000026313,2.76E-11,1.000026313,2.79E-11,1.000026313,2.83E-11,1.000026313,2.86E-11,1.000026313,2.90E-11,,,,,
1.000030769,2.78E-11,1.000030769,2.81E-11,1.000030769,2.85E-11,1.000030769,2.89E-11,1.000030769,2.93E-11,1.000030769,2.97E-11,1.000030769,3.01E-11,1.000030769,3.04E-11,1.000030769,3.08E-11,1.000030769,3.12E-11,,,,,
1.000035546,2.97E-11,1.000035546,3.01E-11,1.000035546,3.05E-11,1.000035546,3.09E-11,1.000035546,3.13E-11,1.000035546,3.17E-11,1.000035546,3.21E-11,1.000035546,3.25E-11,1.000035546,3.29E-11,1.000035546,3.34E-11,,,,,
1.000046037,3.34E-11,1.000046037,3.38E-11,1.000046037,3.43E-11,1.000046037,3.48E-11,1.000046037,3.52E-11,1.000046037,3.57E-11,1.000046037,3.62E-11,1.000046037,3.66E-11,1.000046037,3.71E-11,1.000046037,3.75E-11,,,,,
1.000057721,3.69E-11,1.000057721,3.74E-11,1.000057721,3.79E-11,1.000057721,3.84E-11,1.000057721,3.89E-11,1.000057721,3.94E-11,1.000057721,3.99E-11,1.000057721,4.05E-11,1.000057721,4.10E-11,1.000057721,4.15E-11,,,,,
1.000070525,4.01E-11,1.000070525,4.07E-11,1.000070525,4.12E-11,1.000070525,4.18E-11,1.000070525,4.24E-11,1.000070525,4.29E-11,1.000070525,4.35E-11,1.000070525,4.40E-11,1.000070525,4.46E-11,1.000070525,4.51E-11,,,,,
