0.1v,0.1i,0.2v,0.2i
1,1.98E-05,1,8.73E-06
1.001,-5.01E-02,1.001,-4.05E-01
1.002,-4.03E-02,1.002,-7.87E-01
1.004,1.83E-02,1.004,-1.49E+00
1.008,1.28E-01,1.008,-2.76E+00
1.016,4.96E-03,1.016,-5.17E+00
1.026,-5.38E-03,1.032,3.27E+00
1.036,-7.10E-04,1.064,-1.29E-01
1.046,-1.51E-03,1.128,6.00E-04
1.056,-7.99E-04,1.256,4.02E-02
1.066,-2.00E-04,1.32,4.36E-03
1.076,9.73E-05,1.352,2.01E-02
1.086,-9.85E-05,1.384,6.51E-02
1.096,3.52E-05,1.396956288,1.11E-01
1.106,-1.06E-05,1.409912577,1.72E-01
1.116,-5.04E-07,1.420917375,2.51E-01
1.126,9.54E-07,1.430052147,3.37E-01
1.136,1.94E-06,1.437996815,4.30E-01
1.146,3.44E-06,1.445147017,5.31E-01
1.156,4.26E-06,1.451582198,6.36E-01
1.166,6.29E-06,1.458017379,7.59E-01
1.176,9.85E-06,1.464452561,9.06E-01
1.186,1.45E-05,1.477322924,1.32E+00
1.196,2.09E-05,1.490193286,1.88E+00
1.206,3.07E-05,1.503063649,2.59E+00
1.216,4.52E-05,1.515934012,3.47E+00
1.226,6.69E-05,1.528804375,4.54E+00
1.236,9.89E-05,1.541674737,5.81E+00
1.246,1.46E-04,1.5545451,7.29E+00
1.256,2.16E-04,1.567415463,8.97E+00
1.265,3.10E-04,1.593156188,1.29E+01
1.2731,4.27E-04,1.618896914,1.78E+01
1.28039,5.70E-04,1.644637639,2.37E+01
1.286880458,7.36E-04,1.670378365,3.05E+01
1.292721871,9.25E-04,1.69611909,3.83E+01
1.297979142,1.14E-03,1.721859816,4.69E+01
1.302710686,1.37E-03,1.747600541,5.55E+01
1.30744223,1.64E-03,1.773341267,6.34E+01
1.312173774,1.96E-03,1.799081992,6.90E+01
1.316905318,2.35E-03,1.824822718,7.07E+01
1.321636862,2.81E-03,1.850563443,6.71E+01
1.326368406,0.003358724,1.876304169,5.79E+01
1.33109995,0.004011433,1.902044894,4.42E+01
1.335831494,0.004785922,1.92778562,2.87E+01
1.340563038,0.005703275,1.953526345,1.51E+01
1.345294582,0.006787724,1.979267071,5.76E+00
1.350026126,0.008066975,1.999499001,2.15E+00
1.35475767,0.009572528,1.999501,2.09E+00
1.359489214,0.011339979,1.998501,2.00E+00
1.364220758,0.013409293,1.996501,1.83E+00
1.368952302,0.015825025,1.992501,1.55E+00
1.373683846,0.018636475,1.984501,1.17E+00
1.378415391,0.021897767,1.968500999,7.61E-01
1.383146935,0.025667818,1.952501,5.42E-01
1.387878479,0.030010199,1.920500999,3.55E-01
1.392610023,0.034992869,1.888501,2.64E-01
1.397341567,0.040687799,1.856500999,2.02E-01
1.402073111,0.047170357,1.824500999,1.33E-01
1.406804655,0.054518737,1.792500999,2.75E-02
1.411536199,0.062813167,1.728500999,-6.87E-01
1.416267743,0.072135051,1.664500999,-5.10E+00
1.420999287,0.082566058,1.627043009,-1.51E+01
1.425730831,0.094187183,1.589585018,-4.11E+01
1.430462375,0.107077841,1.557266964,-8.72E+01
1.435193919,0.121315008,1.528512002,-1.42E+02
1.439925463,0.13697246,1.512740042,-1.61E+02
1.444657007,0.154120157,1.502757052,-1.61E+02
1.449388551,0.172823779,1.492774063,-1.49E+02
1.454120095,0.193144455,1.484450791,-1.28E+02
1.458851639,0.215138693,1.476127519,-1.00E+02
1.463583183,0.238858511,1.467804247,-7.04E+01
1.468314727,0.264351768,1.460313302,-4.56E+01
1.473046271,0.291662685,1.454110467,-2.89E+01
1.477777815,0.320832523,1.44855811,-1.78E+01
1.482509359,0.351900404,1.443560988,-1.08E+01
1.487240903,0.38490424,1.438563866,-6.21E+00
1.496703992,0.456758829,1.433566744,-3.41E+00
1.505220771,0.52848138,1.428569623,-1.84E+00
1.51373755,0.607148495,1.423572501,-1.03E+00
1.522254329,0.693063776,1.418575379,-6.32E-01
1.530771109,0.786599567,1.413578257,-4.26E-01
1.539287888,0.888210477,1.408581136,-3.11E-01
1.547804667,0.998443653,1.403584014,-2.40E-01
1.556321447,1.117946488,1.398586892,-1.94E-01
1.564838226,1.247472264,1.39358977,-1.65E-01
1.573355005,1.387884185,1.388592649,-1.44E-01
1.581871784,1.540158296,1.378598405,-1.11E-01
1.590388564,1.70538575,1.368604161,-1.03E-01
1.598905343,1.884774767,1.358609918,-8.79E-02
1.607422122,2.07965254,1.348615674,-7.62E-02
1.615938901,2.291467235,1.328627187,-5.71E-02
1.624455681,2.521790087,1.3086387,-5.23E-02
1.63297246,2.772317539,1.268661726,-4.54E-02
1.641489239,3.044873236,1.228684752,-5.13E-02
1.650006019,3.341409618,1.188707778,-3.73E-02
1.658522798,3.664008779,1.148730803,-3.85E-02
1.667039577,4.014882158,1.108753829,-0.032103215
1.675556356,4.396368569,1.068776855,-0.039385078
1.684073136,4.810929962,1.028799881,-0.030080711
1.692589915,5.261144229,1.000500999,-0.02927897
1.701106694,5.749694249,0,0
1.709623474,6.279352261,0,0
1.718140253,6.852958503,0,0
1.726657032,7.473392945,0,0
1.735173811,8.143538789,0,0
1.743690591,8.866236252,0,0
1.75220737,9.644225054,0,0
1.760724149,10.48007389,0,0
1.769240928,11.37609508,0,0
1.777757708,12.33424268,0,0
1.786274487,13.35599212,0,0
1.796274487,14.6378691,0,0
1.806274487,16.00851355,0,0
1.816274487,17.46602819,0,0
1.826274487,19.00614424,0,0
1.836274487,20.62170897,0,0
1.846274487,22.30213112,0,0
1.856274487,24.03280604,0,0
1.866274487,25.79455069,0,0
1.876274487,27.56309133,0,0
1.886274487,29.30866033,0,0
1.896274487,30.9957743,0,0
1.906274487,32.58328014,0,0
1.916274487,34.02476796,0,0
1.926274487,35.26945741,0,0
1.936274487,36.26365731,0,0
1.946274487,36.95288142,0,0
1.956274487,37.28466258,0,0
1.966274487,37.21203801,0,0
1.976274487,36.69758624,0,0
1.986274487,35.71777077,0,0
1.996274487,34.26721102,0,0
