4.1v,4.1i,4.2v,4.2i,4.3v,4.3i,4.4v,4.4i,4.5v,4.5i,4.6v,4.6i,4.7v,4.7i,4.8v,4.8i,4.9v,4.9i,5.0v,5.0i
1,9.47E-06,1,9.61E-06,1,9.76E-06,1,9.90E-06,1,1.00E-05,1,1.02E-05,1,1.03E-05,1,1.04E-05,1,1.05E-05,1,1.07E-05
1.000000004,9.05E-06,1.000000004,9.20E-06,1.000000004,9.34E-06,1.000000004,9.49E-06,1.000000004,9.63E-06,1.000000004,9.76E-06,1.000000004,9.89E-06,1.000000004,1.00E-05,1.000000004,1.02E-05,1.000000004,1.03E-05
1.000000014,8.65E-06,1.000000014,8.80E-06,1.000000014,8.95E-06,1.000000014,9.10E-06,1.000000014,9.24E-06,1.000000014,9.38E-06,1.000000014,9.51E-06,1.000000014,9.64E-06,1.000000014,9.77E-06,1.000000014,9.90E-06
1.000000032,8.27E-06,1.000000032,8.42E-06,1.000000032,8.57E-06,1.000000032,8.72E-06,1.000000032,8.86E-06,1.000000032,9.01E-06,1.000000032,9.14E-06,1.000000032,9.28E-06,1.000000032,9.41E-06,1.000000032,9.54E-06
1.000000089,7.54E-06,1.000000089,7.70E-06,1.000000089,7.86E-06,1.000000089,8.01E-06,1.000000089,8.15E-06,1.000000089,8.30E-06,1.000000089,8.44E-06,1.000000089,8.58E-06,1.000000089,8.71E-06,1.000000089,8.85E-06
1.000000175,6.88E-06,1.000000175,7.04E-06,1.000000175,7.19E-06,1.000000175,7.35E-06,1.000000175,7.50E-06,1.000000175,7.64E-06,1.000000175,7.79E-06,1.000000175,7.93E-06,1.000000175,8.07E-06,1.000000175,8.20E-06
1.00000029,6.27E-06,1.00000029,6.43E-06,1.00000029,6.59E-06,1.00000029,6.74E-06,1.00000029,6.89E-06,1.00000029,7.04E-06,1.00000029,7.18E-06,1.00000029,7.33E-06,1.00000029,7.47E-06,1.00000029,7.60E-06
1.000000433,5.72E-06,1.000000433,5.88E-06,1.000000433,6.03E-06,1.000000433,6.18E-06,1.000000433,6.33E-06,1.000000433,6.48E-06,1.000000433,6.63E-06,1.000000433,6.77E-06,1.000000433,6.91E-06,1.000000433,7.05E-06
1.000000604,5.21E-06,1.000000604,5.37E-06,1.000000604,5.52E-06,1.000000604,5.67E-06,1.000000604,5.82E-06,1.000000604,5.97E-06,1.000000604,6.11E-06,1.000000604,6.26E-06,1.000000604,6.40E-06,1.000000604,6.53E-06
1.000000804,4.75E-06,1.000000804,4.91E-06,1.000000804,5.06E-06,1.000000804,5.21E-06,1.000000804,5.35E-06,1.000000804,5.50E-06,1.000000804,5.64E-06,1.000000804,5.78E-06,1.000000804,5.92E-06,1.000000804,6.06E-06
1.000001033,4.34E-06,1.000001033,4.48E-06,1.000001033,4.63E-06,1.000001033,4.78E-06,1.000001033,4.92E-06,1.000001033,5.06E-06,1.000001033,5.21E-06,1.000001033,5.34E-06,1.000001033,5.48E-06,1.000001033,5.62E-06
1.00000129,3.95E-06,1.00000129,4.10E-06,1.00000129,4.24E-06,1.00000129,4.38E-06,1.00000129,4.53E-06,1.00000129,4.67E-06,1.00000129,4.80E-06,1.000001575,4.56E-06,1.000001575,4.69E-06,1.000001575,4.82E-06
1.000001889,3.28E-06,1.000001889,3.42E-06,1.000001889,3.55E-06,1.000001889,3.69E-06,1.000001889,3.82E-06,1.000001889,3.95E-06,1.000001889,4.09E-06,1.000002232,3.89E-06,1.000002232,4.02E-06,1.000002232,4.14E-06
1.000002602,2.73E-06,1.000002602,2.85E-06,1.000002602,2.98E-06,1.000002602,3.10E-06,1.000002602,3.23E-06,1.000002602,3.35E-06,1.000002602,3.47E-06,1.000003001,3.32E-06,1.000003001,3.44E-06,1.000003001,3.56E-06
1.000003428,2.26E-06,1.000003428,2.38E-06,1.000003428,2.49E-06,1.000003428,2.61E-06,1.000003428,2.72E-06,1.000003428,2.84E-06,1.000003428,2.96E-06,1.000003884,2.83E-06,1.000003884,2.95E-06,1.000003884,3.06E-06
1.000004367,1.88E-06,1.000004367,1.98E-06,1.000004367,2.09E-06,1.000004367,2.19E-06,1.000004367,2.30E-06,1.000004367,2.41E-06,1.000004367,2.51E-06,1.000004879,2.42E-06,1.000004879,2.52E-06,1.000004879,2.63E-06
