0.1v,0.1i,0.2v,0.2i,0.3v,0.3i,0.4v,0.4i,0.5v,0.5i,0.6v,0.6i,0.7v,0.7i,0.8v,0.8i,0.9v,0.9i,1.0v,1.0i
1,6.12E-13,1,6.12E-13,1,5.12E-12,1,8.65E-12,1,-1.53E-10,1,-1.71E-10,1,-1.71E-10,1,5.02E-11,1,7.04E-11,1,9.58E-11
1.000000004,-1.35E-12,1.000000004,-1.35E-12,1.000000004,-2.47E-12,1.000000004,-3.23E-12,1.000000004,-1.16E-11,1.000000004,-1.44E-11,1.000000004,-1.65E-11,1.000000004,-2.48E-12,1.000000004,-1.38E-12,1.000000004,4.64E-13
1.000000012,3.16E-13,1.000000012,3.16E-13,1.000000012,2.41E-13,1.000000011,1.65E-13,1.000000011,1.42E-13,1.000000011,-1.20E-13,1.000000011,-4.21E-13,1.000000012,-4.23E-15,1.000000012,2.63E-14,1.000000012,1.33E-13
1.000000026,3.81E-13,1.000000026,3.81E-13,1.000000024,3.90E-13,1.000000024,3.97E-13,1.000000024,4.36E-13,1.000000024,4.32E-13,1.000000024,4.19E-13,1.000000024,4.03E-13,1.000000025,4.08E-13,1.000000025,4.18E-13
1.000000044,3.82E-13,1.000000044,3.82E-13,1.000000041,3.95E-13,1.00000004,4.07E-13,1.00000004,4.21E-13,1.00000004,4.34E-13,1.000000041,4.46E-13,1.000000041,4.56E-13,1.000000042,4.68E-13,1.000000043,4.81E-13
1.000000096,3.97E-13,1.000000096,3.97E-13,1.000000063,4.04E-13,1.000000087,4.37E-13,1.000000086,4.57E-13,1.000000087,4.79E-13,1.000000088,5.03E-13,1.000000089,5.26E-13,1.000000091,5.49E-13,1.000000093,5.72E-13
1.000000168,4.13E-13,1.000000168,4.13E-13,1.00000012,4.28E-13,1.000000151,4.65E-13,1.00000015,4.93E-13,1.000000151,5.21E-13,1.000000153,5.50E-13,1.000000148,5.73E-13,1.000000151,6.03E-13,1.000000154,6.28E-13
1.000000372,4.42E-13,1.000000372,4.42E-13,1.000000195,4.50E-13,1.000000232,4.93E-13,1.000000232,5.27E-13,1.000000233,5.62E-13,1.000000265,6.12E-13,1.000000256,6.44E-13,1.00000026,6.82E-13,1.000000264,7.21E-13
1.000000623,4.68E-13,1.000000623,4.68E-13,1.000000399,4.90E-13,1.000000332,5.20E-13,1.000000331,5.61E-13,1.000000333,6.03E-13,1.000000408,6.75E-13,1.000000393,7.14E-13,1.000000399,7.61E-13,1.000000405,8.10E-13
1.00000094,4.94E-13,1.00000094,4.94E-13,1.000000646,5.28E-13,1.000000448,5.47E-13,1.000000447,5.94E-13,1.000000451,6.43E-13,1.00000058,7.37E-13,1.000000559,7.84E-13,1.000000567,8.40E-13,1.000000574,8.97E-13
1.00000132,5.19E-13,1.00000132,5.19E-13,1.000000951,5.65E-13,1.000000735,6.01E-13,1.000000732,6.62E-13,1.000000586,6.84E-13,1.000000784,8.00E-13,1.000000754,8.53E-13,1.000000765,9.19E-13,1.000000774,9.85E-13
1.000001766,5.45E-13,1.000001766,5.45E-13,1.000001315,6.02E-13,1.000001092,6.55E-13,1.000001088,7.29E-13,1.000000909,7.66E-13,1.000001017,8.62E-13,1.000000979,9.23E-13,1.000000992,9.98E-13,1.000001003,1.07E-12
1.000002275,5.69E-13,1.000002275,5.69E-13,1.000001737,6.39E-13,1.000001518,7.09E-13,1.000001513,7.97E-13,1.000001302,8.47E-13,1.000001576,9.86E-13,1.000001233,9.93E-13,1.000001248,1.08E-12,1.000001261,1.16E-12
1.000003487,6.21E-13,1.000003487,6.21E-13,1.000002218,6.74E-13,1.000002015,7.63E-13,1.000002008,8.64E-13,1.000001766,9.28E-13,1.000002256,1.11E-12,1.000001827,1.13E-12,1.000001849,1.23E-12,1.000001867,1.34E-12
