1.1v,1.1i,1.2v,1.2i,1.3v,1.3i,1.4v,1.4i,1.5v,1.5i,1.6v,1.6i,1.7v,1.7i,1.8v,1.8i,1.9v,1.9i,2.0v,2.0i,,,,,
1,1.26E-10,1,1.61E-10,1,1.99E-10,1,2.41E-10,1,2.85E-10,1,3.32E-10,1,3.81E-10,1,4.32E-10,1,4.85E-10,1,5.39E-10,,,,,
1.000000004,3.16E-12,1.000000004,6.69E-12,1.000000004,1.10E-11,1.000000004,1.61E-11,1.000000004,2.19E-11,1.000000004,2.86E-11,1.000000004,3.61E-11,1.000000004,4.42E-11,1.000000004,5.29E-11,1.000000004,6.24E-11,,,,,
1.000000012,3.46E-13,1.000000012,6.86E-13,1.000000012,1.18E-12,1.000000012,1.83E-12,1.000000012,2.64E-12,1.000000012,3.63E-12,1.000000013,4.79E-12,1.000000013,6.07E-12,1.000000013,7.49E-12,1.000000013,9.23E-12,,,,,
1.000000025,4.40E-13,1.000000026,4.76E-13,1.000000026,5.34E-13,1.000000026,6.19E-13,1.000000026,7.34E-13,1.000000027,8.83E-13,1.000000027,1.07E-12,1.000000028,1.28E-12,1.000000028,1.52E-12,1.000000028,1.85E-12,,,,,
1.000000043,4.95E-13,1.000000044,5.10E-13,1.000000045,5.29E-13,1.000000045,5.51E-13,1.000000046,5.77E-13,1.000000046,6.10E-13,1.000000047,6.50E-13,1.000000048,6.96E-13,1.000000049,7.49E-13,1.000000049,8.19E-13,,,,,
1.000000094,5.93E-13,1.000000096,6.11E-13,1.000000098,6.27E-13,1.000000099,6.38E-13,1.0000001,6.44E-13,1.000000102,6.46E-13,1.000000103,6.43E-13,1.000000106,6.38E-13,1.000000108,6.29E-13,1.000000108,6.04E-13,,,,,
1.000000157,6.65E-13,1.00000016,7.08E-13,1.000000163,7.59E-13,1.000000165,8.20E-13,1.000000167,7.95E-13,1.00000017,8.30E-13,1.000000173,8.66E-13,1.000000177,9.04E-13,1.000000181,9.42E-13,1.000000181,9.75E-13,,,,,
1.00000027,7.62E-13,1.000000275,8.05E-13,1.000000281,8.50E-13,1.000000286,8.96E-13,1.00000029,9.31E-13,1.000000295,9.76E-13,1.0000003,1.02E-12,1.000000307,1.07E-12,1.000000315,1.12E-12,1.000000317,1.16E-12,,,,,
1.000000413,8.60E-13,1.000000422,9.11E-13,1.000000431,9.63E-13,1.000000439,1.01E-12,1.000000446,1.07E-12,1.000000453,1.12E-12,1.000000462,1.18E-12,1.000000474,1.24E-12,1.000000486,1.30E-12,1.000000491,1.35E-12,,,,,
1.000000587,9.58E-13,1.0000006,1.02E-12,1.000000613,1.08E-12,1.000000625,1.15E-12,1.000000635,1.21E-12,1.000000646,1.27E-12,1.000000659,1.34E-12,1.000000676,1.41E-12,1.000000693,1.48E-12,1.000000703,1.55E-12,,,,,
1.000000791,1.06E-12,1.00000081,1.13E-12,1.000000827,1.20E-12,1.000000844,1.28E-12,1.000000857,1.35E-12,1.000000873,1.42E-12,1.000000891,1.50E-12,1.000000913,1.58E-12,1.000000938,1.67E-12,1.000000952,1.75E-12,,,,,
1.000001026,1.15E-12,1.00000105,1.24E-12,1.000001073,1.32E-12,1.000001095,1.40E-12,1.000001113,1.49E-12,1.000001133,1.57E-12,1.000001158,1.66E-12,1.000001187,1.76E-12,1.00000122,1.85E-12,1.00000124,1.95E-12,,,,,
1.000001291,1.25E-12,1.000001321,1.34E-12,1.000001352,1.44E-12,1.00000138,1.53E-12,1.000001402,1.63E-12,1.000001428,1.72E-12,1.000001459,1.83E-12,1.000001496,1.93E-12,1.000001538,2.04E-12,1.000001564,2.14E-12,,,,,
1.000001912,1.45E-12,1.000001958,1.56E-12,1.000001662,1.56E-12,1.000001697,1.66E-12,1.000001724,1.77E-12,1.000001756,1.87E-12,1.000001795,1.99E-12,1.000001841,2.10E-12,1.000001893,2.23E-12,1.000001927,2.34E-12,,,,,
1.000002653,1.64E-12,1.000002718,1.77E-12,1.000002377,1.79E-12,1.000002428,1.92E-12,1.000002468,2.04E-12,1.000002515,2.17E-12,1.000002571,2.31E-12,1.000002637,2.45E-12,1.000002285,2.41E-12,1.000002327,2.54E-12,,,,,
1.000003515,1.83E-12,1.000003602,1.99E-12,1.00000322,2.03E-12,1.00000329,2.18E-12,1.000003344,2.32E-12,1.000003408,2.47E-12,1.000003485,2.63E-12,1.000003575,2.79E-12,1.000003178,2.78E-12,1.000003239,2.93E-12,,,,,
